ExtendedEndDate,bidStatus,currencySymbol,currentBid,estimateHigh,estimateLow,imageUrl,isMixedLot,location,lotId,lotItems,lotNo,lotSequence,lotStatus,lotSuffix,originalLotID,parcelHeader,reservePrice,soldPrice,userIsWatching,userMaxBid,winningBidderPaddle,winningBidderUserName
,OPEN,USD,180,280,200,,False,1,289211,"[{'wineName': 'Chateau Pavie', 'producerName': None, 'producerId': 0, 'appellation': 'St. Emilion', 'designation': None, 'region': 'Red Bordeaux', 'vintage': '1998', 'condition': '', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(97pts)', 'parkerNoteEnglish': '""The 1998 Pavie is deep garnet-brick in color. So much fruit comes charging out of the gate here: profound crème de cassis, baked blackberries and blackberry preserves with notions of beef dripping, crushed rocks, unsmoked cigar, sandalwood and dried lavender. Big, rich and beautifully impactful, it is completely packed with taut, muscular black and blue fruit preserves, maintaining nice firm grainy tannins with layer after layer of exotic spices, meat and earth notions, finishing epically long and minerally. Should easily continue to cellar for 25+ years.""(97pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",1,1,NS,,624024,Parcel,180,0,False,0,55950,***
,OPEN,USD,320,500,350,,False,1,289212,"[{'wineName': 'Clos de la Roche', 'producerName': 'Dujac', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'Red Burgundy', 'vintage': '2003', 'condition': 'bsl', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(93pts IWC)', 'parkerNoteEnglish': '""Medium bright, deep red. Highly nuanced nose combines red fruits, minerals and flowers. Silky-sweet, thick and sappy, with outstanding richness and volume; this has fruit of steel. A perfect example of a 2003 that\'s superripe without being cooked. One to buy and to cellar.""(93pts IWC)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",2,2,NS,,624025,Parcel,300,0,False,0,48149,******
,OPEN,USD,400,600,450,,False,1,289213,"[{'wineName': 'Clos St. Denis', 'producerName': 'Ponsot', 'producerId': 0, 'appellation': '', 'designation': 'Vieilles Vignes', 'region': 'Red Burgundy', 'vintage': '2003', 'condition': '', 'bottleQuantity': 1, 'bottleSize': 'magnum', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",3,3,NS,,624026,Parcel,400,0,False,0,5995,whocares
,OPEN,USD,130,200,150,,False,1,289214,"[{'wineName': 'Puligny Montrachet', 'producerName': 'Domaine Leflaive', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'White Burgundy', 'vintage': '2010', 'condition': 'bsl nc', 'bottleQuantity': 1, 'bottleSize': 'magnum', 'wineScore': '(90pts BH)', 'parkerNoteEnglish': '""A classic Puligny nose is both fresh and ripe with citrus, floral and white-fleshed fruit aromas where there is added nuance in the form of smoke and menthol hints. There is a lovely sense of refinement and energy to the silky and pure middle weight flavors that possess fine precision as well as faultless balance on the lingering finish. Really good stuff for a villages level effort.""(90pts BH)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",4,4,NS,,624027,Parcel,130,0,False,0,8937,a9230
,OPEN,USD,300,500,350,,False,1,289215,"[{'wineName': 'Dom Perignon Vintage Champagne', 'producerName': 'Dom Perignon', 'producerId': 0, 'appellation': '', 'designation': 'Rose', 'region': 'Champagne', 'vintage': '1996', 'condition': '', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(95pts VM)', 'parkerNoteEnglish': '""Bright, amber-tinged pink with pinpoint bubbles. Deep, smoky and complex, with a kaleidoscopic bouquet incorporating wild strawberry, peach, apricot, chestnut honey and cured meat. A firm, strikingly concentrated mid weight with powerful flavors of orange peel, raspberry, redcurrant, baking spice and smoked meat and gentle supporting acidity. Smoky, sweet and long on the back, with a slowly building impression of acidity that suggests this will be a long ager. ""(95pts VM)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",5,5,NS,,624028,Parcel,300,0,False,0,37494,lotus125
,OPEN,USD,0,110,80,,False,1,289216,"[{'wineName': 'Flaccianello', 'producerName': 'Fontodi', 'producerId': 0, 'appellation': '', 'designation': None, 'region': 'Italy', 'vintage': '2012', 'condition': '', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(97pts VM)', 'parkerNoteEnglish': '""...presents a darker, more virile expression of Sangiovese. Here, too, the purity of the flavors is truly striking. Cinnamon, cloves, new leather, licorice and plums are some of the notes that soar from the glass. The 2012 is full-bodied and voluptuous, in classic Flaccianello style...""(97pts VM)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",6,6,NS,,624029,Parcel,70,0,False,0,0,***
,OPEN,USD,180,260,200,,False,1,289217,"[{'wineName': 'Colgin Cabernet Sauvignon', 'producerName': 'Colgin', 'producerId': 0, 'appellation': '', 'designation': 'Herb Lamb Vineyard', 'region': 'California Cabernets & Meritage', 'vintage': '1993', 'condition': 'bn ssos', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(95pts)', 'parkerNoteEnglish': '""The nose offers up cassis, blueberry, black-raspberry, and toasty scents, followed by gorgeously rich, sweet (from extract, not sugar) flavors, full body, gobs of glycerin, and wonderfully ripe tannin in the intense finish that must last for 40+ seconds. It is an exceptional Cabernet Sauvignon that will be approachable upon release; it will age for 20+ years. It is a tour de force in wine-making.""(95pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",7,7,NS,,624030,Parcel,180,0,False,0,48149,******
,OPEN,USD,200,320,240,,False,1,289218,"[{'wineName': 'Colgin Cabernet Sauvignon', 'producerName': 'Colgin', 'producerId': 0, 'appellation': '', 'designation': 'Herb Lamb Vineyard', 'region': 'California Cabernets & Meritage', 'vintage': '1994', 'condition': '', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(96pts)', 'parkerNoteEnglish': '""Is a totally dry wine, but the sweetness and taste of this wine\'s fruit is akin to a savory blend of a chocolate-covered, blueberry/cassis-filled candy bar and vanilla ice cream melting in the mouth. This full-bodied wine is silky, seductive, opulent, voluptuously-textured, and etraordinarily fragrant, expansive, and rich.""(96pts)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",8,8,NS,,624031,Parcel,200,0,False,0,48149,******
,OPEN,USD,130,200,150,,False,1,289219,"[{'wineName': 'Colgin Cabernet Sauvignon', 'producerName': 'Colgin', 'producerId': 0, 'appellation': '', 'designation': 'Herb Lamb Vineyard', 'region': 'California Cabernets & Meritage', 'vintage': '1998', 'condition': '', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': '(94pts IWC)', 'parkerNoteEnglish': '""Bright, deep ruby-purple color. Sappy, exotic aromas of cassis, blackberry and smoked nuts; already offers a compellingly perfumed quality. Thick with extract; chewy and sweet, but in a restrained, classic style.""(94pts IWC)', 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",9,9,NS,,624032,Parcel,130,0,False,0,42902,j***
,OPEN,USD,0,160,120,,False,1,289220,"[{'wineName': 'Diamond Creek Cabernet Sauvignon', 'producerName': 'Diamond Creek', 'producerId': 0, 'appellation': '', 'designation': 'Red Rock Terrace', 'region': 'California Cabernets & Meritage', 'vintage': '1985', 'condition': 'bn lbsl sdc', 'bottleQuantity': 1, 'bottleSize': 'bottle', 'wineScore': None, 'parkerNoteEnglish': None, 'parkerNoteLocal': None, 'producerIsUserFavorite': True}]",10,10,NS,,624033,Parcel,100,0,False,0,0,***
